iter	Logloss
0	0.6798093676
1	0.6667532463
2	0.6550862889
3	0.644463695
4	0.6341931015
5	0.6247929355
6	0.6157839738
7	0.6078767532
8	0.5998790214
9	0.5925113062
10	0.5856134567
11	0.5790056193
12	0.57319927
13	0.5670410351
14	0.5623071468
15	0.5575033771
16	0.5527242724
17	0.5482087862
18	0.5438932661
19	0.539691657
20	0.5362271811
21	0.532254162
22	0.5291153463
23	0.5258770902
24	0.5228750937
25	0.5202132651
26	0.5174256026
27	0.5148932108
28	0.511968827
29	0.5094661489
30	0.5070835698
31	0.5053706662
32	0.503465052
33	0.5012969691
34	0.4995082404
35	0.4976866894
36	0.4960315565
37	0.4942425279
38	0.4928669697
39	0.4913115119
40	0.4897944998
41	0.488358022
42	0.4870075372
43	0.4857018399
44	0.484397124
45	0.4833441374
46	0.4822099692
47	0.4811395475
48	0.4801158086
49	0.4791216722
50	0.4781616877
51	0.4769972905
52	0.4759195905
53	0.4748231179
54	0.4741012198
55	0.4731815317
56	0.4728427387
57	0.4721504068
58	0.4714656824
59	0.470701935
60	0.4698644337
61	0.4691900219
62	0.4685119712
63	0.4679775852
64	0.4674965345
65	0.4667832799
66	0.4659649117
67	0.4653596319
68	0.4646714167
69	0.4638656799
70	0.4633702918
71	0.4628787234
72	0.4623490363
73	0.4619374739
74	0.4614578052
75	0.4610070406
76	0.460384006
77	0.4597871347
78	0.4594208188
79	0.458949963
80	0.4584645593
81	0.4578191194
82	0.4573751657
83	0.4568698807
84	0.4563573913
85	0.4558502741
86	0.4553936894
87	0.4548642297
88	0.4546360624
89	0.4541738883
90	0.453609701
91	0.4531051232
92	0.4527430709
93	0.4523067917
94	0.4515737752
95	0.4515545953
96	0.4511830808
97	0.4507592139
98	0.4503310192
99	0.4500315647
100	0.4494247099
101	0.4491931469
102	0.4486741369
103	0.4482923715
104	0.4479568346
105	0.4474004994
106	0.4469120225
107	0.4465654415
108	0.4461461261
109	0.4457888299
110	0.445389845
111	0.4451881695
112	0.4449480714
113	0.4445841589
114	0.4442752054
115	0.4438955336
116	0.4437065325
117	0.4432640191
118	0.4429441176
119	0.4427474986
120	0.4422666564
121	0.441816477
122	0.4415057027
123	0.4412781584
124	0.4410101902
125	0.4406669431
126	0.440354906
127	0.440017346
128	0.4397618759
129	0.4394605364
130	0.4392389545
131	0.4389496631
132	0.4386344376
133	0.43826804
134	0.4378968746
135	0.4375333383
136	0.4373716697
137	0.4371696335
138	0.4371529281
139	0.4369189838
140	0.4365771698
141	0.436243591
142	0.4358875385
143	0.4355586975
144	0.4352696994
145	0.4348821667
146	0.4345552851
147	0.4341589062
148	0.4337800283
149	0.4335955591
150	0.4332672163
151	0.4328917286
152	0.4327001378
153	0.4324244252
154	0.4322435183
155	0.4320786134
156	0.431807308
157	0.4315298898
158	0.4313336608
159	0.4310589931
160	0.4306485337
161	0.4306066906
162	0.4303574107
163	0.4302981638
164	0.42989469
165	0.4296793428
166	0.429309708
167	0.4289396696
168	0.4286517305
169	0.4284088076
170	0.4282119374
171	0.4277812636
172	0.4276011166
173	0.4274177982
174	0.4270482735
175	0.4268995348
176	0.4264853046
177	0.4262118967
178	0.4259832915
179	0.4257642549
180	0.4255695821
181	0.4253450256
182	0.4250998808
183	0.4248846593
184	0.4247285171
185	0.4246159563
186	0.4244301031
187	0.4240015766
188	0.423756015
189	0.423397126
190	0.423244567
191	0.4230402201
192	0.4227218117
193	0.4223973235
194	0.422245082
195	0.4221173857
196	0.4219138532
197	0.4217470963
198	0.4213342347
199	0.4210901313
200	0.4210893886
201	0.4208478444
202	0.4206708851
203	0.4203233804
204	0.4200496383
205	0.4199062207
206	0.4195784834
207	0.4191398872
208	0.4188913995
209	0.4186814706
210	0.4185870234
211	0.4184496756
212	0.4182451136
213	0.4179477934
214	0.4177760942
215	0.4175456792
216	0.417273927
217	0.4170485811
218	0.4166649127
219	0.4164763008
220	0.4162162499
221	0.4158567597
222	0.415658589
223	0.4155366633
224	0.4152627427
225	0.4148188753
226	0.4146271979
227	0.4144406468
228	0.4141745104
229	0.4139528153
230	0.413694855
231	0.4132861729
232	0.4130223153
233	0.41272595
234	0.4125745701
