iter	Passed	Remaining
0	152	152699
1	157	78762
2	160	53472
3	166	41556
4	171	34110
5	174	28965
6	178	25369
7	183	22704
8	187	20685
9	194	19216
10	199	17910
11	205	16954
12	210	15950
13	214	15088
14	219	14431
15	225	13845
16	229	13263
17	232	12709
18	237	12271
19	240	11807
20	252	11792
21	255	11376
22	259	11023
23	263	10714
24	267	10443
25	272	10219
26	276	9977
27	280	9723
28	285	9554
29	289	9347
30	293	9166
31	296	8973
32	301	8836
33	305	8678
34	309	8538
35	313	8407
36	318	8297
37	323	8183
38	326	8051
39	330	7938
40	334	7822
41	338	7730
42	343	7655
43	347	7553
44	352	7482
45	356	7385
46	360	7311
47	365	7243
48	368	7157
49	372	7079
50	376	7008
51	380	6936
52	384	6863
53	387	6789
54	392	6738
55	395	6672
56	399	6606
57	403	6548
58	407	6505
59	412	6459
60	416	6416
61	420	6360
62	424	6313
63	428	6260
64	432	6218
65	435	6159
66	439	6124
67	444	6096
68	448	6046
69	451	5998
70	455	5963
71	460	5935
72	464	5900
73	468	5865
74	473	5840
75	477	5807
76	480	5761
77	486	5746
78	490	5716
79	494	5682
80	497	5646
81	502	5626
82	506	5596
83	511	5574
84	514	5541
85	519	5515
86	522	5485
87	525	5449
88	529	5416
89	533	5389
90	536	5363
91	540	5338
92	544	5310
93	548	5290
94	552	5267
95	554	5226
96	558	5194
97	561	5164
98	564	5138
99	568	5114
100	571	5090
101	575	5065
102	578	5039
103	583	5029
104	587	5003
105	590	4977
106	593	4952
107	597	4931
108	600	4908
109	603	4884
110	606	4861
111	610	4838
112	614	4823
113	617	4800
114	621	4781
115	624	4760
116	628	4743
117	632	4730
118	636	4714
119	640	4693
120	643	4672
121	647	4662
122	651	4644
123	654	4623
124	657	4603
125	661	4590
126	665	4574
127	669	4559
128	672	4542
129	678	4541
130	681	4522
131	685	4505
132	688	4488
133	692	4473
134	695	4458
135	698	4440
136	702	4423
137	705	4408
138	707	4382
139	711	4369
140	714	4355
141	718	4339
142	721	4323
143	725	4315
144	730	4305
145	733	4292
146	737	4281
147	742	4271
148	745	4258
149	749	4246
150	752	4231
151	756	4219
152	760	4208
153	763	4194
154	767	4181
155	770	4166
156	774	4160
157	778	4147
158	781	4133
159	785	4122
160	789	4114
161	791	4095
162	795	4083
163	797	4067
164	801	4054
165	804	4042
166	807	4029
167	811	4017
168	814	4006
169	818	3993
170	821	3984
171	825	3973
172	828	3960
173	831	3948
174	835	3937
175	839	3928
176	842	3918
177	846	3908
178	849	3897
179	853	3889
180	857	3879
181	860	3868
182	864	3858
183	867	3848
184	871	3837
185	874	3827
186	878	3817
187	881	3808
188	885	3798
189	888	3788
190	892	3779
191	896	3770
192	899	3760
193	903	3753
194	907	3745
195	910	3734
196	913	3723
197	916	3713
198	920	3705
199	924	3696
200	925	3679
201	928	3669
202	932	3659
203	935	3651
204	939	3643
205	942	3633
206	946	3624
207	949	3616
208	953	3608
209	956	3599
210	960	3589
211	963	3580
212	967	3574
213	970	3565
214	974	3557
215	977	3548
216	980	3539
217	984	3530
218	987	3521
219	991	3513
220	994	3504
221	997	3497
222	1001	3488
223	1004	3480
224	1008	3472
225	1011	3464
226	1015	3458
227	1018	3450
228	1022	3442
229	1025	3434
230	1029	3427
231	1033	3419
232	1036	3412
233	1040	3404
234	1043	3396
235	1046	3389
236	1050	3382
237	1053	3373
238	1057	3365
239	1060	3358
240	1064	3353
241	1067	3344
242	1070	3334
243	1073	3326
244	1076	3317
245	1080	3311
246	1083	3302
247	1086	3294
248	1089	3287
249	1093	3280
250	1096	3272
251	1099	3264
252	1102	3256
253	1106	3248
254	1109	3242
255	1113	3236
256	1117	3229
257	1120	3222
258	1123	3215
259	1127	3209
260	1131	3202
261	1134	3195
262	1137	3188
263	1141	3181
264	1145	3176
265	1148	3169
266	1152	3162
267	1155	3155
268	1158	3149
269	1162	3141
270	1165	3134
271	1168	3128
272	1172	3122
273	1176	3116
274	1179	3109
275	1182	3102
276	1186	3095
277	1189	3089
278	1194	3085
279	1197	3080
280	1201	3073
281	1204	3068
282	1208	3062
283	1212	3055
284	1215	3049
285	1219	3044
286	1223	3039
287	1227	3035
288	1231	3029
289	1234	3023
290	1238	3017
291	1241	3010
292	1245	3005
293	1249	2999
294	1252	2994
295	1256	2988
296	1260	2983
297	1263	2977
298	1267	2971
299	1270	2965
300	1274	2958
301	1277	2953
302	1281	2947
303	1284	2941
304	1288	2935
305	1292	2931
306	1296	2926
307	1299	2918
308	1302	2912
309	1306	2907
310	1310	2902
311	1314	2897
312	1318	2893
313	1322	2888
314	1326	2885
315	1329	2878
316	1333	2872
317	1336	2866
318	1339	2860
319	1343	2854
320	1346	2849
321	1351	2845
322	1354	2839
323	1358	2834
324	1361	2828
325	1366	2824
326	1369	2819
327	1373	2813
328	1377	2808
329	1380	2802
330	1384	2799
331	1388	2793
332	1392	2789
333	1396	2784
334	1400	2779
335	1404	2775
336	1407	2769
337	1412	2765
338	1415	2759
339	1419	2754
340	1422	2748
341	1425	2743
342	1429	2737
343	1432	2731
344	1436	2727
345	1440	2723
346	1444	2717
347	1447	2712
348	1451	2706
349	1455	2702
350	1458	2696
351	1462	2691
352	1466	2687
353	1469	2681
354	1473	2676
355	1476	2671
356	1481	2667
357	1485	2663
358	1489	2658
359	1492	2653
360	1496	2648
361	1500	2643
362	1503	2637
363	1507	2634
364	1511	2630
365	1516	2626
366	1519	2620
367	1522	2615
368	1528	2612
369	1531	2607
370	1534	2602
371	1538	2596
372	1542	2593
373	1546	2588
374	1549	2583
375	1554	2579
376	1557	2573
377	1560	2568
378	1564	2563
379	1568	2558
380	1571	2552
381	1575	2548
382	1578	2542
383	1581	2537
384	1585	2532
385	1588	2527
386	1591	2521
387	1596	2518
388	1599	2512
389	1602	2507
390	1606	2502
391	1609	2496
392	1621	2505
393	1627	2502
394	1632	2499
395	1637	2497
396	1643	2495
397	1648	2493
398	1654	2491
399	1659	2488
400	1663	2485
401	1667	2481
402	1672	2476
403	1675	2472
404	1679	2467
405	1682	2461
406	1686	2457
407	1689	2452
408	1693	2447
409	1697	2442
410	1700	2436
411	1703	2431
412	1707	2426
413	1710	2420
414	1714	2416
415	1717	2411
416	1720	2406
417	1724	2400
418	1727	2395
419	1731	2390
420	1734	2385
421	1737	2379
422	1741	2374
423	1744	2369
424	1747	2364
425	1750	2359
426	1753	2353
427	1756	2347
428	1760	2342
429	1763	2337
430	1766	2332
431	1770	2327
432	1773	2321
433	1776	2316
434	1779	2311
435	1782	2306
436	1786	2301
437	1789	2296
438	1792	2290
439	1795	2285
440	1799	2280
441	1802	2275
442	1805	2269
443	1808	2265
444	1812	2260
445	1815	2255
446	1819	2250
447	1822	2245
448	1825	2240
449	1828	2234
450	1831	2229
451	1835	2225
452	1838	2220
453	1841	2215
454	1844	2209
455	1847	2204
456	1850	2199
457	1854	2194
458	1857	2189
459	1860	2184
460	1863	2179
461	1867	2174
462	1870	2169
463	1874	2165
464	1877	2159
465	1880	2154
466	1883	2150
467	1887	2145
468	1890	2140
469	1893	2135
470	1897	2131
471	1901	2126
472	1904	2121
473	1907	2116
474	1910	2111
475	1913	2106
476	1916	2101
477	1920	2096
478	1923	2092
479	1927	2088
480	1931	2083
481	1934	2079
482	1937	2074
483	1941	2069
484	1944	2064
485	1947	2060
486	1950	2055
487	1954	2050
488	1957	2045
489	1961	2042
490	1965	2037
491	1969	2033
492	1972	2028
493	1976	2024
494	1979	2019
495	1982	2014
496	1986	2010
497	1989	2005
498	1992	2000
499	1995	1995
500	2000	1992
501	2003	1987
502	2007	1983
503	2011	1979
504	2015	1975
505	2018	1970
506	2021	1965
507	2024	1960
508	2028	1956
509	2031	1951
510	2035	1947
511	2040	1944
512	2043	1939
513	2047	1935
514	2051	1931
515	2055	1927
516	2058	1922
517	2061	1918
