Feature,Importance,Absolute Importance
num__tenure,-1.3523130200866194,1.3523130200866194
cat__Contract_Two year,-0.7790298012431122,0.7790298012431122
num__TotalCharges,0.6440135457061551,0.6440135457061551
cat__InternetService_DSL,-0.6161322185963777,0.6161322185963777
cat__Contract_Month-to-month,0.6138456087442048,0.6138456087442048
cat__InternetService_Fiber optic,0.5901840344394675,0.5901840344394675
num__MonthlyCharges,-0.5410063543016563,0.5410063543016563
cat__PaperlessBilling_No,-0.3003865303034469,0.3003865303034469
cat__MultipleLines_No,-0.2934703186210872,0.2934703186210872
cat__InternetService_No,-0.2837236705575659,0.2837236705575659
cat__OnlineSecurity_No internet service,-0.2837236705575659,0.2837236705575659
cat__DeviceProtection_No internet service,-0.2837236705575659,0.2837236705575659
cat__StreamingTV_No internet service,-0.2837236705575659,0.2837236705575659
cat__OnlineBackup_No internet service,-0.2837236705575659,0.2837236705575659
cat__TechSupport_No internet service,-0.2837236705575659,0.2837236705575659
cat__StreamingMovies_No internet service,-0.2837236705575659,0.2837236705575659
cat__Dependents_Yes,-0.2705204988386478,0.2705204988386478
cat__StreamingTV_No,-0.21706126058375894,0.21706126058375894
cat__PhoneService_Yes,-0.20530661626913654,0.20530661626913654
cat__PaymentMethod_Bank transfer (automatic),-0.2047553760628483,0.2047553760628483
cat__StreamingMovies_No,-0.20302455350953258,0.20302455350953258
cat__StreamingTV_Yes,0.19111307642684744,0.19111307642684744
cat__OnlineSecurity_Yes,-0.19040765428270115,0.19040765428270115
cat__PaymentMethod_Electronic check,0.18067056222711939,0.18067056222711939
cat__StreamingMovies_Yes,0.17707636935263013,0.17707636935263013
cat__TechSupport_Yes,-0.16889696134335963,0.16889696134335963
cat__Partner_Yes,-0.16725297245035944,0.16725297245035944
cat__gender_Male,-0.16689306492433165,0.16689306492433165
cat__OnlineSecurity_No,0.16445947012577541,0.16445947012577541
cat__PaymentMethod_Credit card (automatic),-0.16205628639268055,0.16205628639268055
cat__Contract_One year,-0.1444876622155566,0.1444876622155566
cat__TechSupport_No,0.1429487771864476,0.1429487771864476
cat__gender_Female,-0.14277878979015124,0.14277878979015124
cat__Partner_No,-0.1424188822641135,0.1424188822641135
cat__PaymentMethod_Mailed check,-0.12353075448605964,0.12353075448605964
cat__PhoneService_No,-0.10436523844532036,0.10436523844532036
cat__MultipleLines_No phone service,-0.10436523844532036,0.10436523844532036
cat__MultipleLines_Yes,0.08816370235193308,0.08816370235193308
num__SeniorCitizen,0.07101070361416817,0.07101070361416817
cat__OnlineBackup_Yes,-0.06958721108596189,0.06958721108596189
cat__DeviceProtection_No,-0.05864159929704629,0.05864159929704629
cat__OnlineBackup_No,0.043639026929047434,0.043639026929047434
cat__Dependents_No,-0.03915135587581559,0.03915135587581559
cat__DeviceProtection_Yes,0.032693415140130515,0.032693415140130515
cat__PaperlessBilling_Yes,-0.009285324411040217,0.009285324411040217
