iter	Passed	Remaining
0	150	45076
1	159	23749
2	168	16648
3	175	13004
4	184	10864
5	187	9196
6	192	8063
7	200	7322
8	206	6681
9	212	6162
10	219	5760
11	224	5396
12	229	5077
13	234	4792
14	238	4527
15	242	4302
16	246	4101
17	249	3916
18	253	3742
19	256	3590
20	259	3442
21	261	3309
22	264	3188
23	267	3074
24	269	2965
25	271	2866
26	274	2773
27	276	2684
28	278	2600
29	280	2524
30	282	2450
31	284	2382
32	286	2318
33	288	2258
34	290	2200
35	292	2146
36	294	2095
37	296	2045
38	298	1998
39	300	1955
40	302	1913
41	304	1873
42	306	1833
43	308	1795
44	310	1759
45	312	1724
46	314	1692
47	316	1660
48	318	1629
49	320	1600
50	322	1572
51	323	1545
52	325	1518
53	327	1493
54	330	1470
55	332	1446
56	333	1423
57	336	1402
58	337	1380
59	339	1359
60	341	1339
61	343	1319
62	345	1300
63	347	1282
64	349	1264
65	351	1247
66	353	1230
67	355	1214
68	357	1197
69	359	1182
70	361	1167
71	363	1151
72	365	1136
73	367	1122
74	369	1108
75	371	1095
76	373	1082
77	375	1070
78	377	1057
79	379	1044
80	381	1032
81	384	1020
82	386	1009
83	387	997
84	390	986
85	392	976
86	394	966
87	396	955
88	398	944
89	400	934
90	402	924
91	404	914
92	406	904
93	408	894
94	410	885
95	411	874
96	413	865
97	415	856
98	417	847
99	419	839
100	421	831
101	423	822
102	425	813
103	427	805
104	429	797
105	431	790
106	433	782
107	435	774
108	437	766
109	439	758
110	441	751
111	443	743
112	445	736
113	447	729
114	449	723
115	452	717
116	454	710
117	456	703
118	458	696
119	460	690
120	462	683
121	464	677
122	466	671
123	468	665
124	470	658
125	472	652
126	474	646
127	476	639
128	478	633
129	480	628
130	482	622
131	484	617
132	487	611
133	490	607
134	492	602
135	495	597
136	498	592
137	500	587
138	502	582
139	504	576
140	506	571
141	508	566
142	511	561
143	513	556
144	515	551
145	517	546
146	519	540
147	521	535
148	523	530
149	526	526
150	531	524
151	535	521
152	538	517
153	542	514
154	547	511
155	550	508
156	554	504
157	557	500
158	559	496
159	562	491
160	566	488
161	569	484
162	572	480
163	575	476
164	577	472
165	579	467
166	581	463
167	583	458
168	586	454
169	588	449
170	590	445
171	593	441
172	595	437
173	598	433
174	601	429
175	603	425
176	606	421
177	608	417
178	611	413
179	614	409
180	616	405
181	618	400
182	620	396
183	622	392
184	625	388
185	627	384
186	629	380
187	631	375
188	633	371
189	634	367
190	636	363
191	638	359
192	641	355
193	643	351
194	646	347
195	648	343
196	650	339
197	651	335
198	653	331
199	655	327
200	658	324
201	661	320
202	663	317
203	665	313
204	667	309
205	669	305
206	672	301
207	674	298
208	677	294
209	679	291
210	681	287
211	683	283
212	684	279
213	686	276
214	689	272
215	691	268
216	693	265
217	695	261
218	697	258
219	699	254
220	701	250
221	703	247
222	706	243
223	708	240
224	710	236
225	712	233
226	715	229
227	717	226
228	719	222
229	722	219
230	724	216
231	726	212
232	728	209
233	730	205
234	732	202
235	734	199
236	736	195
237	738	192
238	740	189
239	742	185
240	744	182
241	746	178
242	748	175
243	750	172
244	752	168
245	754	165
246	756	162
247	758	159
248	760	155
249	762	152
250	764	149
251	767	146
252	769	142
253	772	139
254	774	136
255	776	133
256	779	130
257	781	127
258	784	124
259	786	120
260	788	117
261	790	114
262	792	111
263	794	108
264	796	105
265	798	102
266	800	98
267	802	95
268	804	92
269	806	89
270	808	86
271	810	83
272	812	80
273	814	77
274	817	74
275	819	71
276	821	68
277	823	65
278	825	62
279	827	59
280	829	56
281	831	53
282	833	50
283	835	47
284	837	44
285	839	41
286	841	38
287	843	35
288	845	32
289	847	29
290	850	26
291	852	23
292	854	20
293	856	17
294	858	14
295	860	11
296	862	8
297	864	5
298	866	2
299	868	0
